日付,現地平均気圧,海面平均気圧,合計降水量,最大降水量,最小降水量,平均気温,最高気温,最低気温,平均湿度,最小湿度,平均風速,最大風速,最大風速(風向),最大瞬間風速,最大瞬間風速(風向),日照時間(h),降雪量(cm),最新積雪値(cm),天気概要昼,天気概要夜
1,1013.2,1018.4,--,0.0,--,10.0,13.1,5.8,45,29,5.3,10.6,北,17.9,北,9.4,--,--,晴,晴後時々曇
2,1015.0,1020.3,0.5,0.5,0.5,6.6,8.5,4.4,67,46,2.8,5.3,北北西,8.1,北,1.5,--,--,曇時々晴後雨,晴時々曇
3,1008.2,1013.4,0.0,0.0,0.0,8.2,11.5,4.2,73,56,1.9,3.9,北,5.5,北,1.9,--,--,曇,雨時々曇
4,1007.4,1012.6,0.0,0.0,0.0,10.3,15.1,7.1,56,28,5.0,10.4,北,18.5,北,6.6,--,--,晴時々曇,晴
5,1013.7,1018.9,--,--,--,9.1,15.1,4.3,52,30,2.8,5.8,西南西,10.3,西南西,8.6,--,--,晴,晴
6,1007.0,1012.2,--,--,--,10.9,17.5,4.9,59,39,2.9,7.6,西南西,11.5,西南西,9.2,--,--,晴,晴
7,1002.8,1008.0,0.0,0.0,0.0,8.6,11.1,6.2,54,34,3.1,9.2,北,15.3,北,3.9,--,--,晴後曇一時雨,晴
8,1012.3,1017.6,--,--,--,6.2,10.3,3.6,39,22,3.7,6.8,北北西,12.5,北西,9.6,--,--,晴,晴後時々曇
9,1011.9,1017.2,--,--,--,6.7,12.6,1.9,46,28,3.1,6.1,南西,10.4,南南西,9.5,--,--,晴,晴
10,1007.1,1012.3,--,--,--,8.0,12.3,3.4,52,37,2.8,8.0,北,12.5,北,5.3,--,--,曇時々晴,曇
11,1007.9,1013.2,--,--,--,5.7,7.5,4.1,49,31,5.0,8.6,北,13.4,北,0.3,--,--,曇,晴一時曇
12,1003.7,1008.9,--,--,--,8.3,15.2,1.7,51,37,3.0,7.5,南南西,11.2,南南西,9.6,--,--,晴,晴
13,1006.0,1011.2,0.5,0.5,0.5,6.4,12.1,2.0,60,41,4.1,12.8,北,19.3,北,6.1,--,--,晴時々曇後雨、雷を伴う,晴一時曇、みぞれを伴う
14,1014.4,1019.7,--,--,--,7.4,11.5,1.1,46,36,5.3,10.0,南西,18.4,南西,9.6,--,--,晴,晴
